store_code,name,address,locality,pickup_zone,active,phone,opening_hours,notes
MYC-PLUS-AVENUE-77-CENTRAL-BUSINESS-,"MyConvenience Plus Avenue 77, Central Business District, Mriehel","Commerce St, Birkirkara",Birkirkara,Birkirkara,true,22498470,6am - 19pm,
MYC-SAN-GWANN-3,MyConvenience San Gwann 3,Vjal Ir-Rihan,San Gwann,San Gwann,true,,7am - 10pm,
MYC-PAOLA-2-RAHAL-GDID,MyConvenience Paola 2 (Rahal Gdid),Pjazza Antoine De Paule,Paola,Paola,true,22498468,7am - 10pm,
MYC-VALLETTA-1,MyConvenience Valletta 1,"St Paul St, Valletta",Valletta,Valletta,true,,7am - 10pm,
MYC-VALLETTA-2,MyConvenience Valletta 2,106 St. Lucia's Street,Valletta,Valletta,true,2298456,7am - 10pm,
MYC-VICTORIA-RABAT-GOZO,"MyConvenience Victoria (Rabat, Gozo)",Triq Fortunato Mizzi,"Rabat, Gozo","Rabat, Gozo",true,22498462,6am - 10pm,
MYC-MQABBA-2,MyConvenience Mqabba 2,"32-6 Triq Karmenu Ciantar, L-Imqabba",Mqabba,Mqabba,true,22498253,6am - 9pm,
MYC-RABAT-3,MyConvenience Rabat 3,"Verdala Terraces Royal Mansion Block A, Triq San Bastjan Rabat Malta",Triq San Bastjan Rabat Malta,Triq San Bastjan Rabat Malta,true,22498460,6am - 10pm,
MYC-QORMI-4,MyConvenience Qormi 4,"43 Triq Il-Belt Valletta, Ħal Qormi QRM 2304",Qormi,Qormi,true,22498393,6am - 10pm,
MYC-QRENDI-1,MyConvenience Qrendi 1,"5, Triq Is-Salvatur, Qrendi",Qrendi,Qrendi,true,79585107,6am - 9pm,
MYC-ATTARD-2,MyConvenience Attard 2,"Triq il-Mosta, Attard",Attard,Attard,true,22498385,7am - 10pm,
MYC-RABAT-1,MyConvenience Rabat 1,"No 99/101 Triq Il-Kullegg,Rabat",Rabat,Rabat,true,22498277,6am - 10pm,
MYC-XEMXIJA-1,MyConvenience Xemxija 1,"Promenade Palace,Xemxija hill,Xemxija",Xemxija,Xemxija,true,22498281,7am - 10pm,
MYC-FLEUR-DE-LYS-2,MyConvenience Fleur De Lys 2,"335 Triq Fleur - De - Lys, Birkirkara",Birkirkara,Birkirkara,true,22498449,6am - 10pm,
MYC-XGHAJRA-1,MyConvenience Xghajra 1,"Triq Sant' Elija, Ix-Xgħajra XJR 1010",Ix-Xgħajra,Ix-Xgħajra,true,21248440,6am - 9pm,
MYC-GZIRA-4,MyConvenience Gzira 4,"Rue D`argent,Gzira",Gzira,Gzira,true,22498330,7am - 10pm,
MYC-SLIEMA-2,MyConvenience Sliema 2,"Triq L-Imrabat,Sliema",Sliema,Sliema,true,22498326,6am - 10pm,
MYC-ST-VENERA-1,MyConvenience St. Venera 1,"Triq L-Imsida,St.Venera",Santa Venera,Santa Venera,true,22498248,6am - 10pm,
MYC-SLIEMA-1,MyConvenience Sliema 1,"23 Patri Marjanu Vella, Sliema",Sliema,Sliema,true,22498259,6am - 9pm,
MYC-MSIDA-3,MyConvenience Msida 3,"Oscar Zammit Str, Msida",Msida,Msida,true,22498273,6am - 10pm,
MYC-GUDJA-1,MyConvenience Gudja 1,"56 Vjal It-Torri, Il-Gudja",Il-Gudja,Il-Gudja,true,22498309,6am - 9pm,
MYC-GWARDAMANGIA-1,MyConvenience Gwardamangia 1,"18 Triq Il - Mimosa, Tal-Pietà",Gwardamangia,Gwardamangia,true,22498298,6am - 10pm,
MYC-FLORIANA-1,MyConvenience Floriana 1,"68 Triq San Tumas, Il-Furjana",Floriana,Floriana,true,22498318,6am - 9pm,
MYC-MOSTA-7,MyConvenience Mosta 7,"Triq Walter L. Salamone, Mosta",Mosta,Mosta,true,22498437,6am - 9pm,
MYC-MELLIEHA-2,MyConvenience Mellieha 2,"60 Triq Gorg Borg Olivier, Il-Mellieħa",Mellieha,Mellieha,true,22498381,6am - 10pm,
MYC-MALTA-AIRPORT-SKYPARKS-1-MIA,MyConvenience Malta Airport Skyparks 1 (MIA),"Skyparks Business Centre Ltd,MIA",MIA,MIA,true,22498433,7am - 9pm,
MYC-SLIEMA-5,MyConvenience Sliema 5,"155 Triq Rodolfu, Tas-Sliema",Sliema,Sliema,true,22498371,6am - 10pm,
MYC-ZURRIEQ-2,MyConvenience Zurrieq 2,"91 Vjal L-Indipendenza, Iż-Żurrieq",Zurrieq,Zurrieq,true,+356 2249 8100,6am - 9pm,
MYC-QAWRA-2-ST-PAULS-BAY,MyConvenience Qawra 2 (St Paul’s Bay),"Tourist St, St Paul's Bay",St Paul's Bay,St Paul's Bay,true,2249 8312,6am - 10pm,
MYC-PAOLA-1-RAHAL-GDID,MyConvenience Paola 1 (Rahal Gdid),"Triq Haz Zabbar, Raħal Ġdid",Paola,Paola,true,22498265,6am - 10pm,
MYC-MOSTA-2,MyConvenience Mosta 2,"Vjal L-Indipendenza,Mosta",Mosta,Mosta,true,22498227,6am - 10pm,
MYC-MOSTA-4,MyConvenience Mosta 4,"241 Triq Il-Kbira, Il-Mosta",Mosta,Mosta,true,22498332,6am - 10pm,
MYC-TARXIEN-3,MyConvenience Tarxien 3,"Triq San Anard, Ħal Tarxien",Ħal Tarxien,Ħal Tarxien,true,22498363,6am - 9pm,
MYC-ZABBAR-1,MyConvenience Zabbar 1,"Labour Avenue,Zabbar",Zabbar,Zabbar,true,22498267,,
MYC-BALLUTA-1-ST-JULIANS,MyConvenience Balluta 1 (St Julians),"Carmelite Street, St Julian's",St Julian's,St Julian's,true,,6am - 10pm,
MYC-BIRZEBBUGA-3,MyConvenience Birzebbuga 3,"82 Triq Birzebbuga, Birżebbuġa",Birzebbuga,Birzebbuga,true,22498247,6am - 10pm,
MYC-ATTARD-1,MyConvenience Attard 1,"Triq Il-Pitkali, Attard",Attard,Attard,true,22498368,6am - 10pm,
MYC-SAFI-2,MyConvenience Safi 2,"Triq Il-Gawhar,Safi",Safi,Safi,true,22498324,6am - 9pm,
MYC-SAN-GWANN-2,MyConvenience San Gwann 2,"Naxxar Road, San Gwann",San Gwann,San Gwann,true,22498288,6am - 10pm,
MYC-MARSASCALA-1,MyConvenience Marsascala 1,"Triq Il-Qaliet, Wied il-Għajn",Marsascala,Marsascala,true,22498255,6am - 10pm,
MYC-MARSASCALA-2,MyConvenience Marsascala 2,"Triq Sant Antnin, Wied il-Għajn",Marsascala,Marsascala,true,22498340,00:00 - 23:59,
MYC-TARXIEN-1,MyConvenience Tarxien 1,"Santa Monica St, Tarxien",Tarxien,Tarxien,true,22498257,6am - 9pm,
MYC-GHAXAQ-1,MyConvenience Ghaxaq 1,"Labour Avenue,Ghaxaq",Ghaxaq,Ghaxaq,true,22498253,6am - 10pm,
MYC-QAWRA-5-ST-PAULS-BAY,MyConvenience Qawra 5 (St Paul’s Bay),Triq It-Tamar San Pawl,St Paul's Bay,St Paul's Bay,true,22498440,6am - 10pm,
MYC-SWATAR-2-BIRKIRKARA,MyConvenience Swatar 2 (Birkirkara),"Triq Il-Qattus, Swatar",Birkirkara,Birkirkara,true,22498372,6am - 10pm,
MYC-SIGGIEWI-2,MyConvenience Siggiewi 2,"Mons Mikiel Azzopardi Street, Siggiewi",Siggiewi,Siggiewi,true,22498339,6am - 10pm,
MYC-GZIRA-6,MyConvenience Gzira 6,"98 Triq Sir Frederick C. Ponsonby, Il-Gżira",Gzira,Gzira,true,22498359,6am - 10pm,
MYC-MARSA-1,MyConvenience Marsa 1,"118,Isourd Street,Marsa",Marsa,Marsa,true,22498383,6am - 10pm,
MYC-GHAJN-DWIELI-1-PAOLA,MyConvenience Ghajn Dwieli 1 (Paola),"153 Triq Ghajn Dwieli, Raħal Ġdid",Paola,Paola,true,22498308,6am - 9pm,
MYC-SIGGIEWI-1,MyConvenience Siggiewi 1,"S. Borg Olivier, Siggiewi",Siggiewi,Siggiewi,true,22498304,6am - 9pm,
MYC-BURMARRAD-1-ST-PAULS-BAY,MyConvenience Burmarrad 1 (St Paul’s Bay),Burmarrad Road,St Paul's Bay,St Paul's Bay,true,22498260,6am - 10pm,
MYC-MELLIEHA-1,MyConvenience Mellieha 1,"Shop No.5 Horizon Luxury Residence,Main Str, Mellieha",Mellieha,Mellieha,true,22498436,6am - 10pm,
